27 28 29 42 29 0	6	674
27 28 29 42 29	5	674
28 29 42 29 0	5	674
27 28 29 42	4	674
28 29 42 29	4	674
29 42 29 0	4	674
28 29 32 29	4	393
27 28 29 32 29 0	6	392
27 28 29 32 29	5	392
28 29 32 29 0	5	392
27 28 29 32	4	392
29 32 29 0	4	392
96 96 232 2	4	344
96 96 28 94 94	5	272
96 96 28 94	4	272
96 28 94 94	4	272
0 8 75 27 28 29	6	256
0 8 75 27 28	5	256
8 75 27 28 29	5	256
29 0 75 27	4	256
0 8 75 27	4	256
8 75 27 28	4	256
75 27 28 29	4	256
2 186 2 94	4	256
2 186 2 94 94	5	255
186 2 94 94	4	255
28 29 30 29	4	233
2 176 2 186 2	5	222
2 176 2 186	4	222
176 2 186 2	4	222
27 28 29 30 29 0	6	195
27 28 29 30 29	5	195
28 29 30 29 0	5	195
27 28 29 30	4	195
29 30 29 0	4	195
85 27 28 29	4	194
72 27 28 29	4	193
76 27 28 29	4	193
232 2 190 2	4	176
10 29 30 29	4	175
2 205 2 186 2	5	165
2 205 2 186	4	165
205 2 186 2	4	165
0 8 75 27 28 29 42 29 0	9	159
0 8 75 27 28 29 42 29	8	159
8 75 27 28 29 42 29 0	8	159
0 8 75 27 28 29 42	7	159
8 75 27 28 29 42 29	7	159
75 27 28 29 42 29 0	7	159
8 75 27 28 29 42	6	159
